id,app,category,status,one_liner,instance_model,auth_methods,access_tier,surface_types,breadth,write_access,mcp_product,mcp_scope,mcp_docs,buildability,primary_blocker,evidence_url
27,Telegram,Communications and Messaging,ok,The Bot API allows you to easily create programs that use Telegram messages for an interface.,global,token,self_serve_free,"rest, library",broad,read_write,none,,,easy_win,none,https://core.telegram.org/#user-authorization
28,WhatsApp Business,Communications and Messaging,ok,"If your mobile app offers users the option to receive one-time passwords or verification codes via WhatsApp, you must use an authentication template.",global,token,customer_admin_gated,"rest, webhook",broad,read_write,none,,,buildable_with_caveats,admin_enablement,https://developers.facebook.com/documentation/business-messaging/whatsapp/templates/authentication-templates/authentication-templates/
29,Aircall,Communications and Messaging,ok,"Aircall is the intuitive, AI-powered platform bringing together intelligent voice agents, automated workflows, & adaptive real-time coaching at scale.",global,not_found,self_serve_paid,"rest, webhook, library",broad,read_write,not_found,,,insufficient_evidence,unknown,https://aircall.io
30,Vonage,Communications and Messaging,ok,"Vonage provides a suite of communication APIs including Voice, Verify, and Network features that allow developers to integrate messaging, voice calls, and authentication into their applications.",global,"api_key, token",self_serve_free,"rest, cli, library, webhook",broad,read_write,none,,,easy_win,none,https://developer.vonage.com/en/getting-started-network/what-are-network-apis?
31,Google Ads,"Marketing, Ads, Email and Social",ok,"Create and manage ads that reach users looking for your products or services on Google Search, Display, YouTube and more.",global,not_found,self_serve_paid,"rest, webhook",broad,read_write,not_found,,,insufficient_evidence,unknown,https://developers.google.com/google-ads
32,Meta Ads,"Marketing, Ads, Email and Social",ok,The Marketing API is a collection of Graph API endpoints and other features that can be used to help you advertise across Meta technologies.,global,"token, oauth2_authcode",customer_admin_gated,"rest, webhook",broad,read_write,none,,,buildable_with_caveats,app_review,https://developers.facebook.com/docs/marketing-apis
33,LinkedIn Ads,"Marketing, Ads, Email and Social",ok,"The LinkedIn Marketing Platform helps businesses grow by building technology to reach, engage, and convert professional audiences at scale.",global,"oauth2_authcode, token",customer_admin_gated,rest,broad,read_write,none,,,needs_outreach,admin_enablement,https://learn.microsoft.com/linkedin/marketing
34,GoHighLevel,"Marketing, Ads, Email and Social",ok,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,,,insufficient_evidence,unknown,
35,Mailchimp,"Marketing, Ads, Email and Social",ok,Mailchimp’s developer tools provide everything you need to integrate your data with intelligent marketing tools and event-driven transactional email and SMS.,global,oauth2_authcode,self_serve_paid,"rest, webhook, library",broad,read_write,none,,,easy_win,none,https://mailchimp.com/developer/
36,Klaviyo,"Marketing, Ads, Email and Social",ok,Klaviyo is a powerful email and SMS marketing tool with a strong commitment to data science.,global,"api_key, oauth2_authcode",self_serve_free,not_found,not_found,not_found,none,,,easy_win,none,https://developers.klaviyo.com/en/docs/get_started
37,systeme.io,"Marketing, Ads, Email and Social",ok,"systeme.io combines email marketing, sales funnels, and course creation all in one platform.",not_found,not_found,not_found,rest,moderate,read_write,none,,,insufficient_evidence,unknown,https://systeme.io
38,Pinterest,"Marketing, Ads, Email and Social",ok,"Securely plan content, manage ads, upload product feeds, and more.",global,not_found,self_serve_free,rest,broad,read_write,none,,,insufficient_evidence,unknown,https://developers.pinterest.com
39,Threads (Meta),"Marketing, Ads, Email and Social",ok,"Use the Threads API to create and publish posts, retrieve media and profiles, moderate replies, and access insights.",global,"oauth2_authcode, oauth2_client_credentials, token",self_serve_free,rest,broad,read_write,none,,,easy_win,none,https://developers.facebook.com/docs/threads
40,SendGrid,"Marketing, Ads, Email and Social",ok,The trusted SendGrid Email API for delivery at scale.,global,"api_key, basic",self_serve_free,"rest, smtp, webhook, library",broad,read_write,read_only,,,easy_win,none,https://sendgrid.com
41,Shopify,Ecommerce,ok,"Extend Shopify's core functionality with apps that integrate into Shopify's admin, online store, checkout and more.",per_tenant,oauth2_authcode,partner_gated,"graphql, cli, webhook",broad,read_write,present,unverified,,buildable_with_caveats,partner_gated,https://shopify.dev
42,WooCommerce,Ecommerce,ok,WooCommerce is a powerful ecommerce solution that supports the growth of your business.,self_hosted,"api_key, basic",customer_admin_gated,"rest, cli, webhook",broad,read_write,none,,,easy_win,none,https://woocommerce.com/wordpress-ecommerce/
43,BigCommerce,Ecommerce,ok,BigCommerce is a commerce-centric platform and set of retailer-facing SaaS products used to scale ecommerce businesses.,per_tenant,"oauth2_authcode, token",customer_admin_gated,"rest, graphql, webhook",broad,read_write,none,,,easy_win,none,https://developer.bigcommerce.com
44,Salesforce Commerce Cloud,Ecommerce,ok,not_found,not_found,not_found,not_found,not_found,not_found,not_found,none,,,insufficient_evidence,unknown,
45,Magento (Adobe Commerce),Ecommerce,ok,"Adobe provides developers with software, tools, and services to customize and extend Adobe Commerce to support multichannel, global commerce for B2B and B2C, and integrate with backend systems.",per_tenant,not_found,contact_sales,"graphql, rest",broad,read_write,none,,,insufficient_evidence,unknown,https://developer.adobe.com/commerce
46,Squarespace,Ecommerce,ok,The Squarespace Developer Platform enables developers to create fully custom sites and integrate with 3rd party tools.,per_tenant,oauth2_authcode,customer_admin_gated,"rest, webhook",broad,read_write,none,,,buildable_with_caveats,none,https://developers.squarespace.com
47,Ecwid,Ecommerce,ok,"Ecwid REST API allows you to access and manage any store data, payment and shipping methods, and storefront settings.",per_tenant,oauth2_authcode,customer_admin_gated,"rest, webhook",broad,read_write,none,,,easy_win,none,https://docs.ecwid.com/api-reference
48,Gumroad,Ecommerce,ok,"Gumroad is a platform that helps creators sell digital products, e-books, courses, tutorials, and memberships.",global,oauth2_authcode,not_found,rest,narrow,read_only,none,,,insufficient_evidence,unknown,https://gumroad.com/pricing
49,Amazon Selling Partner,Ecommerce,ok,not_found,global,oauth2_authcode,partner_gated,rest,broad,read_write,none,,,buildable_with_caveats,app_review,https://developer-docs.amazon.com/sp-api/docs/sp-api-models
50,fanbasis,Ecommerce,ok,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,,,insufficient_evidence,unknown,
51,DataForSEO,"Data, SEO and Scraping",ok,"DataForSEO API is a service for building powerful SEO software, data analysis pipelines, and robust no-code automations.",global,basic,self_serve_paid,"rest, webhook",broad,read_write,present,unverified,,easy_win,none,https://docs.dataforseo.com
52,SE Ranking,"Data, SEO and Scraping",ok,"SE Ranking provides an API for keywords, backlinks, domains, audits, AI search, and more, allowing users to pipe SEO and AI search data into their stack.",global,api_key,self_serve_paid,"rest, webhook",broad,read_write,present,unverified,,easy_win,none,https://seranking.com/api-pricing.html
53,Ahrefs,"Data, SEO and Scraping",ok,Access Ahrefs marketing and search data through our APIs and developer tools to build custom integrations and workflows.,global,"oauth2_authcode, token",self_serve_paid,rest,broad,read_only,not_found,,,easy_win,paid_plan,https://ahrefs.com/api
54,MrScraper,"Data, SEO and Scraping",ok,MrScraper is a powerful scraping platform designed to automate and simplify the process of extracting data from websites.,global,"api_key, token",self_serve_paid,"rest, mcp",broad,read_write,present,unverified,,easy_win,none,https://docs.mrscraper.com
55,Apify,"Data, SEO and Scraping",ok,"Apify is all about Actors—a new way to package your code to make it easy to share, integrate, and build upon.",global,"api_key, token, oauth2_authcode",self_serve_paid,"rest, cli, library, webhook",broad,read_write,present,unverified,,easy_win,none,https://docs.apify.com
56,Firecrawl,"Data, SEO and Scraping",ok,"Firecrawl is an open-source framework that takes a URL, crawls it, and converts it into clean, LLM-ready data.",global,api_key,self_serve_paid,"rest, cli, library",broad,read_write,present,unverified,,easy_win,none,https://www.firecrawl.dev/tools
57,Bright Data,"Data, SEO and Scraping",ok,"Bright Data provides a platform to discover, access, extract, and interact with any public website to get structured, reliable, real-time or historical data at petabyte-scale.",global,api_key,self_serve_free,"rest, webhook",broad,read_only,unverified,,true,easy_win,none,https://brightdata.com
58,Sherlock,"Data, SEO and Scraping",ok,Hunt down social media accounts by username across 400+ social networks,not_applicable,none,open_no_auth,cli,not_found,not_found,none,,,wrong_shape,not_a_service,https://github.com/sherlock-project/sherlock
59,Waterfall.io,"Data, SEO and Scraping",ok,"Waterfall aggregates 30+ different data vendors so that you can maximize contact, email and mobile number coverage and optimize cost.",global,api_key,contact_sales,"rest, webhook",broad,read_only,unverified,,true,buildable_with_caveats,contact_sales,https://waterfall.io
60,Clay,"Data, SEO and Scraping",ok,"Clay is a platform that helps users find, enrich, score, and route leads while automating research and outreach workflows.",per_tenant,not_found,customer_admin_gated,"rest, cli",moderate,read_write,unverified,,true,insufficient_evidence,unknown,https://clay.com
61,GitHub,"Developer, Infra and Data platforms",ok,"Create integrations, retrieve data, and automate your workflows with the GitHub REST API.",global,"token, basic",self_serve_free,rest,broad,read_write,none,,,easy_win,none,https://docs.github.com/rest
62,Vercel,"Developer, Infra and Data platforms",ok,Interact programmatically with your Vercel account using the SDK or direct HTTP requests.,global,"token, oauth2_authcode, oauth2_client_credentials",self_serve_free,"rest, library",broad,read_write,none,,,easy_win,none,https://vercel.com/docs/rest-api
63,Netlify,"Developer, Infra and Data platforms",ok,"Use the Netlify REST API to manage atomic deploys of your sites and apps, manage form submissions, inject JavaScript snippets, manage DNS, and so much more.",global,"oauth2_authcode, token",self_serve_free,"rest, cli",broad,read_write,none,,,easy_win,none,https://docs.netlify.com/api-and-cli-guides/api-guides/get-started-with-api/#authentication
64,Cloudflare,"Developer, Infra and Data platforms",ok,The Cloudflare API allows you to programmatically interact with Cloudflare services.,global,"oauth2_authcode, token",self_serve_free,"rest, library",broad,read_write,none,,,easy_win,none,https://developers.cloudflare.com/api
65,Supabase,"Developer, Infra and Data platforms",ok,"Supabase provides a full Postgres database for every project with Realtime functionality, database backups, extensions, and more.",per_tenant,"api_key, token",self_serve_paid,"rest, graphql, cli, library",broad,read_write,full,,,easy_win,none,https://supabase.com/docs
66,Neo4j,"Developer, Infra and Data platforms",ok,"Neo4j is a graph database that allows you to build intelligent, context-aware, and adaptive applications.",per_tenant,basic,self_serve_free,"library, graphql",broad,read_write,full,,,easy_win,none,https://neo4j.com/blog/developer/
67,Snowflake,"Developer, Infra and Data platforms",ok,Snowflake provides several different applications and tools that you can use to access databases in Snowflake.,per_tenant,not_found,contact_sales,"rest, cli, library",broad,read_write,none,,,insufficient_evidence,unknown,https://docs.snowflake.com/en/guides-overview-connecting
68,MongoDB Atlas,"Developer, Infra and Data platforms",ok,The MongoDB Atlas Administration API allows developers to manage all components in MongoDB Atlas.,global,"oauth2_client_credentials, api_key",self_serve_paid,"rest, cli, library",broad,read_write,none,,,easy_win,none,https://mongodb.com/docs/atlas/reference/api-resources-spec/v2
69,Datadog,"Developer, Infra and Data platforms",ok,Datadog uses the OAuth 2.0 (OAuth2) Authorization Framework to allow users to securely authorize third-party applications’ access to restricted Datadog resources on behalf of the user.,per_tenant,"oauth2_authcode, api_key",customer_admin_gated,rest,broad,read_write,none,,,easy_win,none,https://docs.datadoghq.com/extend/authorization/
70,Sentry,"Developer, Infra and Data platforms",ok,The Sentry web API is used to access the Sentry platform programmatically.,per_tenant,not_found,self_serve_paid,"rest, cli",broad,read_write,none,,,insufficient_evidence,unknown,https://docs.sentry.io/api/#getting-started
71,Notion,Productivity and Project Management,ok,Notion connections let you connect your workspace to external tools and automate workflows through code.,global,"oauth2_authcode, token",self_serve_free,"rest, webhook",broad,read_write,unverified,,true,easy_win,none,https://developers.notion.com
72,Airtable,Productivity and Project Management,ok,Airtable's MCP server lets you connect AI tools directly to your Airtable bases.,global,"oauth2_authcode, token",self_serve_free,"rest, cli",broad,read_write,full,,,easy_win,none,https://airtable.com/developers/agents/mcp/getting-started
73,Linear,Productivity and Project Management,ok,Linear is a project management tool that provides a GraphQL API and TypeScript SDK for building apps and integrations.,global,"oauth2_authcode, oauth2_client_credentials, api_key, token",self_serve_free,"graphql, library, webhook, cli",broad,read_write,full,,,easy_win,none,https://developers.linear.app
74,Jira,Productivity and Project Management,ok,Jira allows teams to capture data about work and manage its workflow.,per_tenant,token,not_found,"rest, webhook",broad,read_write,none,,,insufficient_evidence,unknown,https://developer.atlassian.com/platform/forge/building-integrations/
75,Asana,Productivity and Project Management,ok,An Asana app makes it possible to extend or enhance what’s possible with Asana.,global,"oauth2_authcode, token",self_serve_free,"rest, webhook",broad,read_write,none,,,easy_win,none,https://developers.asana.com/docs
76,Monday.com,Productivity and Project Management,ok,"monday.com is a customizable AI work platform covering project management, CRM, dev, and service - used by over 250,000 organizations.",global,"oauth2_authcode, api_key, token",self_serve_paid,"graphql, mcp, webhook, library",broad,read_write,not_found,,,easy_win,none,https://developer.monday.com/api-reference/docs/build-on-monday-with-ai#connect-to-mondaycom
77,ClickUp,Productivity and Project Management,ok,Build integrations and apps with our Public API.,per_tenant,"api_key, oauth2_authcode",self_serve_free,"rest, webhook",broad,read_write,present,unverified,,easy_win,none,https://clickup.com/api
78,Coda,Productivity and Project Management,ok,not_found,not_found,not_found,not_found,rest,moderate,read_write,not_found,,,insufficient_evidence,unknown,
79,Smartsheet,Productivity and Project Management,ok,"Smartsheet is a platform that allows you to read, analyze, and manage project data to help you make decisions and get work done.",global,"oauth2_authcode, api_key",customer_admin_gated,"rest, webhook",broad,read_write,full,,,easy_win,paid_plan,https://developers.smartsheet.com/ai-mcp/smartsheet/mcp-server
80,Harvest,Productivity and Project Management,ok,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,,,insufficient_evidence,unknown,
81,Stripe,Finance and Fintech,ok,"Tokenization is the process Stripe uses to collect sensitive card or bank account details, or personally identifiable information (PII), directly from your customers in a secure manner.",global,api_key,self_serve_free,"rest, webhook",broad,read_write,full,,,easy_win,none,https://docs.stripe.com/api/tokens
82,Plaid,Finance and Fintech,ok,"Plaid's client-side component, Link, helps your users connect their accounts.",not_found,oauth2_client_credentials,customer_admin_gated,"rest, webhook, library",broad,read_write,none,,,easy_win,none,https://plaid.com/docs
83,Binance,Finance and Fintech,ok,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,,,insufficient_evidence,unknown,
84,Paygent Connect,Finance and Fintech,unresolved,,,,,,,,,,,,,
85,iPayX,Finance and Fintech,ok,iPayX Protocol is the neutral FX verification layer for fintech sales teams and FX brokers.,not_found,not_applicable,not_found,not_found,not_found,not_found,none,,,insufficient_evidence,unknown,https://www.ipayx.ai/pricing
86,QuickBooks,Finance and Fintech,ok,Join thousands of fintech apps helping Intuit customers grow.,not_found,not_found,not_found,"rest, library",not_found,not_found,none,,,insufficient_evidence,unknown,https://developer.intuit.com
87,Xero,Finance and Fintech,ok,"The Accounting API exposes accounting and related functions of the main Xero application and can be used for a variety of purposes such as creating transactions like invoices and credit notes, right through to extracting accounting data via our reports endpoint.",per_tenant,"oauth2_authcode, oauth2_client_credentials, token",self_serve_paid,"rest, webhook, library",broad,read_write,not_found,,,easy_win,none,https://developer.xero.com/documentation/api/accounting/overview
88,Brex,Finance and Fintech,ok,"Brex is the first fully unified spend platform — with global corporate cards, expense management, reimbursements, travel, and bill pay.",global,"oauth2_authcode, token",customer_admin_gated,not_found,not_found,not_found,not_found,,,easy_win,admin_enablement,https://developer.brex.com
89,Ramp,Finance and Fintech,ok,"Ramp enables technology partners to build integrations that reach 50,000+ businesses.",global,"oauth2_authcode, oauth2_client_credentials, token",customer_admin_gated,"rest, cli",broad,read_write,not_found,,,buildable_with_caveats,admin_enablement,https://docs.ramp.com/developer-api/v1/build-with-ramp
90,PitchBook,Finance and Fintech,ok,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,,,insufficient_evidence,unknown,
91,NotebookLM,"AI, Research and Media-native",ok,not_found,not_found,not_found,not_found,not_found,not_found,not_found,none,,,insufficient_evidence,unknown,
92,Otter AI,"AI, Research and Media-native",ok,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,,,insufficient_evidence,unknown,
93,Fathom,"AI, Research and Media-native",ok,Fathom summarizes your meetings so you can focus on the conversation.,global,"api_key, oauth2_authcode",self_serve_free,"rest, webhook",moderate,read_write,unverified,,true,easy_win,none,https://fathom.video
94,Consensus,"AI, Research and Media-native",ok,not_found,not_found,not_found,not_found,none,not_found,not_found,not_found,,,insufficient_evidence,unknown,https://consensus.app
95,Reducto,"AI, Research and Media-native",ok,The agentic document platform for leading AI teams who demand enterprise performance at scale.,per_tenant,api_key,self_serve_free,"rest, cli",broad,read_write,unverified,,true,easy_win,none,https://reducto.ai
96,Devin,"AI, Research and Media-native",ok,"Devin is an autonomous AI software engineer that can write, run and test code.",global,"api_key, token, oauth2_authcode",self_serve_paid,rest,broad,read_write,unverified,,true,easy_win,none,https://docs.devin.ai
97,higgsfield,"AI, Research and Media-native",ok,"Higgsfield uses MCP (Model Context Protocol), an open standard that gives AI agents access to external tools.",global,oauth2_authcode,self_serve_free,cli,moderate,read_write,full,,,easy_win,none,https://higgsfield.ai/cli
98,Mermaid CLI,"AI, Research and Media-native",ok,This is a command-line interface (CLI) for mermaid.,not_applicable,none,open_no_auth,"cli, library",moderate,read_only,none,,,wrong_shape,not_a_service,https://github.com/mermaid-js/mermaid-cli
99,YouTube Transcript,"AI, Research and Media-native",ok,The YouTube Transcript API provides a simple and reliable way to extract transcripts from YouTube videos programmatically.,global,"token, oauth2_client_credentials",self_serve_free,rest,broad,read_only,present,unverified,,easy_win,none,https://transcriptapi.com/docs/api#youtube-transcript
100,Grain,"AI, Research and Media-native",ok,"Grain captures and enriches your meetings, then delivers them to Claude, ChatGPT, or any AI tool so your agents can do the work.",per_tenant,not_found,self_serve_paid,rest,moderate,read_only,present,unverified,,insufficient_evidence,unknown,https://grain.com
